Informazioni cronologiche,VoxCPM,Kitten Nano,Piper,Pocket tts,Kokoro,Kitten mini,Oute tts,Qwen3 tts,Soprano,Supertonic
17/06/2026 9.42.46,3,1,4,3,5,2,4,5,4,4
17/06/2026 10.07.43,2,2,2,1,3,2,5,3,4,3
17/06/2026 10.10.22,4,1,2,3,5,3,5,4,4,3
17/06/2026 10.10.37,4,3,5,3,4,3,4,4,3,4
17/06/2026 10.17.09,3,1,1,2,4,1,5,4,2,3
17/06/2026 10.17.19,4,1,2,1,4,2,5,4,3,5
17/06/2026 10.19.09,4,1,3,2,5,2,4,4,4,3
17/06/2026 10.35.07,5,2,4,4,5,2,5,3,4,4
17/06/2026 10.35.09,3,1,2,3,4,1,2,2,5,4
17/06/2026 10.38.45,2,3,4,3,3,3,4,4,4,4
17/06/2026 10.39.37,5,3,5,4,4,4,4,4,5,5
17/06/2026 10.44.57,2,1,2,4,3,2,5,5,4,5
17/06/2026 10.47.07,5,3,4,4,5,2,2,5,4,5
17/06/2026 11.05.51,3,2,2,4,5,2,4,4,3,5
17/06/2026 11.12.42,3,1,2,3,2,2,2,2,2,3
17/06/2026 11.31.31,2,3,1,2,4,2,4,4,3,3
17/06/2026 11.36.14,4,3,1,3,5,3,5,4,3,4
17/06/2026 11.39.16,1,2,3,4,5,2,3,2,3,4
17/06/2026 11.47.27,2,4,1,4,5,1,5,5,4,5
17/06/2026 12.37.50,4,5,4,4,3,3,3,2,3,4
17/06/2026 13.33.01,2,2,4,2,5,1,5,2,5,3
17/06/2026 13.51.16,4,1,3,2,4,1,4,5,5,5
17/06/2026 14.00.24,3,2,1,2,3,1,5,3,4,2
17/06/2026 14.03.13,3,4,3,5,2,4,4,5,4,5
17/06/2026 14.05.12,5,1,3,4,5,3,4,4,4,3
17/06/2026 14.09.04,3,3,3,4,2,5,3,2,3,4
17/06/2026 14.11.55,2,1,3,4,3,3,5,4,4,3
17/06/2026 14.12.06,4,2,3,2,1,2,2,2,3,4
17/06/2026 14.12.49,2,3,4,3,5,2,4,5,4,4
17/06/2026 14.15.49,2,2,4,2,5,1,2,4,3,4
17/06/2026 14.21.37,5,3,4,4,5,2,3,3,5,3
17/06/2026 14.25.30,3,2,2,3,5,2,5,5,4,5
17/06/2026 14.28.40,3,1,2,4,5,2,3,3,3,3
17/06/2026 14.32.06,3,4,4,5,5,1,2,4,5,5
17/06/2026 14.33.57,4,2,3,3,5,3,5,2,3,3
17/06/2026 14.36.10,4,2,3,5,4,2,5,4,5,5
17/06/2026 14.38.35,3,5,4,4,4,3,4,3,3,4
17/06/2026 14.39.03,3,1,3,4,5,2,5,4,3,5
17/06/2026 14.40.19,3,2,3,4,3,1,3,4,5,5
17/06/2026 14.41.30,4,3,2,3,2,1,5,3,4,5
17/06/2026 14.43.25,4,1,1,3,1,2,4,2,2,4
17/06/2026 14.47.30,3,1,2,4,5,2,5,4,4,4
17/06/2026 15.04.21,3,3,2,5,5,1,4,5,5,3
17/06/2026 15.21.27,2,3,2,4,3,1,2,4,2,3
17/06/2026 15.32.21,3,3,4,4,3,2,5,4,5,4
17/06/2026 15.32.51,4,3,2,4,2,1,5,4,1,4
17/06/2026 15.40.12,2,3,1,3,1,2,4,3,2,3
17/06/2026 15.56.52,4,1,2,3,2,2,3,2,4,3
17/06/2026 16.09.47,4,1,2,4,2,3,5,1,3,5
17/06/2026 16.16.58,2,2,1,1,4,1,4,3,3,2
17/06/2026 16.22.16,3,4,2,5,4,2,2,1,1,3
17/06/2026 16.38.54,2,2,2,3,4,1,5,4,4,4
17/06/2026 16.54.18,4,3,2,5,4,2,2,4,4,5
17/06/2026 17.03.49,4,2,2,4,5,3,5,2,2,3
17/06/2026 17.56.57,3,5,1,4,2,3,4,3,3,4
17/06/2026 18.29.10,3,2,2,4,4,3,4,4,3,3
18/06/2026 8.15.24,4,3,4,5,5,3,5,5,5,5
18/06/2026 8.32.10,3,3,3,4,5,2,5,3,3,3
18/06/2026 9.21.12,3,3,3,4,5,2,4,3,4,3
18/06/2026 9.31.59,3,1,1,4,5,1,4,2,3,3
18/06/2026 14.21.14,4,2,3,3,4,2,5,4,3,3
18/06/2026 14.22.23,3,2,3,4,4,4,4,5,5,5
18/06/2026 15.26.59,3,2,4,3,3,2,4,3,5,3
18/06/2026 17.08.50,4,3,5,5,5,3,5,5,5,5
18/06/2026 17.57.20,2,2,3,4,5,1,5,5,4,4
